"Genome","HMM.Profile","Trimmed.Profile","Substrates","Source","E.Value","Coverage","HMM.Profile.Number"
"MH6","GH106","GH106","pectin",NA,"3.2e-118","0.493932038835",106
"MH6","GH139","GH139","pectin",NA,"0","0.957528957529",139
"MH6","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.8e-91","0.61170212766",2
"MH6","GH95","GH95","host glycan, pectin, xylan, xyloglucan, host glycan","plant,animal,mucin","5.8e-296","0.983379501385",95
"MH6","GH140","GH140","pectin",NA,"2.7e-165","0.997572815534",140
"MH6","GH78","GH78","alpha-rhamnoside, pectin","plant","2.4e-155","0.982142857143",78
"MH6","GH33","GH33","pectin, sialic acid","animal,mucin","1.5e-36","0.906432748538",33
"MH6","GH43_18","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","1.4e-86","0.991150442478",43
"MH6","GH143","GH143","pectin",NA,"4.2e-271","0.989208633094",143
"MH6","GH142","GH142","pectin",NA,"1.6e-223","0.995824634656",142
"MH6","GH78","GH78","alpha-rhamnoside, pectin","plant","1.5e-161","0.992063492063",78
"MH6","GH13_8","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1.8e-162","0.990625",13
"MH6","GH28","GH28","pectin","plant","2.9e-54","0.901538461538",28
"MH6","GH146","GH146","arabinan",NA,"1.6e-201","0.998011928429",146
"MH6","GH13_28","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1.7e-108","0.993031358885",13
"MH6","GH23","GH23","chitin, peptidoglycan","pg","3.4e-24","0.748148148148",23
"MH6","GH28","GH28","pectin","plant","8.6e-77","0.929230769231",28
"MH6","GH31","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"1.6e-126","0.997658079625",31
"MH6","GH77","GH77","starch","starch","5.7e-152","0.983805668016",77
"MH6","GH171","GH171","peptidoglycan",NA,"2.1e-129","0.997183098592",171
"MH6","GH73","GH73","peptidoglycan","pg","2.1e-17","0.9296875",73
"MH6","GH36","GH36","alpha-galactan, host glycan, raffinose","plant","2.1e-218","0.995639534884",36
"MH6","GH13_47","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","8e-98","0.987179487179",13
"MH6","GH13_37","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","2.5e-103","0.987261146497",13
"MH6","GH133","GH133","glycogen",NA,"5.1e-81","0.983870967742",133
"MH6","GH57","GH57","alpha-galactan, alpha-glucan, beta-glucan, starch","starch","2.4e-61","0.809399477807",57
"MH6","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","1.9e-63","0.995652173913",16
"MH6","GH28","GH28","pectin","plant","5.7e-82","0.944615384615",28
"MH6","GH24","GH24","peptidoglycan","pg","2.2e-18","0.934306569343",24
"MH6","GH43_12","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","1.1e-100","0.992882562278",43
"MH6","GH31_3","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"6.2e-159","0.993006993007",31
"MH6","GH141","GH141","pectin, xylan",NA,"1.1e-191","0.992409867173",141
"MH6","GH24","GH24","peptidoglycan","pg","1.5e-16","0.963503649635",24
"MH6","GH43_29","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","1.9e-107","0.996402877698",43
"MH6","GH13_14","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","4.2e-120","0.996539792388",13
"MH6","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","2.4e-63","0.976851851852",3
"MH6","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","2.2e-127","0.599734042553",2
"MH6","GH32","GH32","fructan","sucrose","4e-87","0.9795221843",32
"MH6","GH43_10","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","6e-107","0.9963099631",43
"MH6","GH28","GH28","pectin","plant","1e-57","0.913846153846",28
"MH6","GH24","GH24","peptidoglycan","pg","7.1e-16","0.839416058394",24
"MH6","GH73","GH73","peptidoglycan","pg","9.4e-34","0.984375",73
"MH6","GH5_4","GH5","arabinan, arabinogalactan protein, beta-glucan, beta-glycan, beta-mannan, cellulose, chitin, chitosan, glycolipid, polyphenol, xylan, xyloglucan","plant,fungal","8.3e-63","0.576086956522",5
"MH6","GH5_4","GH5","arabinan, arabinogalactan protein, beta-glucan, beta-glycan, beta-mannan, cellulose, chitin, chitosan, glycolipid, polyphenol, xylan, xyloglucan","plant,fungal","1e-28","0.416666666667",5
"MH6","GH73","GH73","peptidoglycan","pg","1.1e-17","0.9453125",73
"MH6","GH13_38","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","4.2e-163","0.99460916442",13
"MH6","GH95","GH95","host glycan, pectin, xylan, xyloglucan, host glycan","plant,animal,mucin","7.3e-253","0.990304709141",95
"MH6","GH51_1","GH51","arabinan, beta-glucan, xylan","plant","1.5e-170","0.974576271186",51
"MH6","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.6e-222","0.964095744681",2
"MH6","GH10","GH10","alkaloid, beta-glucan, xylan",NA,"4.5e-102","0.976897689769",10
"MH6","GH43_1","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","2.7e-144","0.986970684039",43
"MH6","GH28","GH28","pectin","plant","7.8e-84","0.923076923077",28
"MH6","GH67","GH67","xylan","plant","3.5e-254","0.880418535127",67
"MH6","GH78","GH78","alpha-rhamnoside, pectin","plant","3.1e-93","0.97619047619",78
"MH6","GH106","GH106","pectin",NA,"4.7e-226","0.893203883495",106
"MH6","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","5.8e-64","0.972222222222",3
"MH6","GH25","GH25","peptidoglycan","pg","1.1e-43","0.994350282486",25
"MH6","GH28","GH28","pectin","plant","3.6e-62","0.907692307692",28
"MH6","GH28","GH28","pectin","plant","4.1e-64","0.932307692308",28
"MH6","GH105","GH105","pectin, ulvan","animal","1.4e-91","0.969879518072",105
"MH6","GH106","GH106","pectin",NA,"1.1e-259","0.992718446602",106
"MH6","GH28","GH28","pectin","plant","7.9e-67","0.953846153846",28
"MH6","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","5.5e-111","0.635638297872",2
"MH8-FAA","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","1.4e-120","0.970326409496",20
"MH8-FAA","GH13_14","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1e-118","0.996539792388",13
"MH8-FAA","GH188","GH188",NA,NA,"1.2e-19","0.725868725869",188
"MH8-FAA","GH73","GH73","peptidoglycan","pg","6.4e-18","0.9296875",73
"MH8-FAA","GH23","GH23","chitin, peptidoglycan","pg","1.2e-25","0.896296296296",23
"MH8-FAA","GH171","GH171","peptidoglycan",NA,"2.4e-126","0.997183098592",171
"MH8-FAA","GH92","GH92","host glycan","animal","6.2e-167","0.975560081466",92
"MH8-FAA","GH130_2","GH130","beta-mannan",NA,"4.8e-154","0.996666666667",130
"MH8-FAA","GH92","GH92","host glycan","animal","1.1e-188","0.995926680244",92
"MH8-FAA","GH92","GH92","host glycan","animal","7.6e-191","0.993890020367",92
"MH8-FAA","GH92","GH92","host glycan","animal","1.2e-179","0.983706720978",92
"MH8-FAA","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","1.5e-107","0.973293768546",20
"MH8-FAA","GH13_8","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","5.1e-165","0.99375",13
"MH8-FAA","GH177","GH177","host glycan",NA,"8.5e-19","0.50144092219",177
"MH8-FAA","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","8.9e-226","0.966755319149",2
"MH8-FAA","GH24","GH24","peptidoglycan","pg","4.2e-17","0.832116788321",24
"MH8-FAA","GH97","GH97","alpha-glucan",NA,"1.3e-193","0.990491283677",97
"MH8-FAA","GH43_17","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","2.6e-96","0.98127340824",43
"MH8-FAA","GH5_4","GH5","arabinan, arabinogalactan protein, beta-glucan, beta-glycan, beta-mannan, cellulose, chitin, chitosan, glycolipid, polyphenol, xylan, xyloglucan","plant,fungal","1.6e-87","0.985507246377",5
"MH8-FAA","GH24","GH24","peptidoglycan","pg","1.1e-16","0.839416058394",24
"MH8-FAA","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","2.6e-117","0.964391691395",20
"MH8-FAA","GH77","GH77","starch","starch","1e-147","0.98987854251",77
"MH8-FAA","GH31_4","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"7.6e-179","0.997701149425",31
"MH8-FAA","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","5.5e-127","0.607712765957",2
"MH8-FAA","GH13_38","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","4.2e-165","0.99460916442",13
"MH8-FAA","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","3.1e-65","0.976851851852",3
"MH8-FAA","GH13_47","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","9.8e-99","0.987179487179",13
"MH8-FAA","GH130_3","GH130","beta-mannan",NA,"1e-126","0.977049180328",130
"MH8-FAA","GH92","GH92","host glycan","animal","1.4e-154","0.991853360489",92
"MH8-FAA","GH92","GH92","host glycan","animal","6.8e-173","0.993890020367",92
"MH8-FAA","GH13_42","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","8.5e-154","0.9975",13
"MH8-FAA","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","3.1e-139","0.527925531915",2
"MH8-FAA","GH78","GH78","alpha-rhamnoside, pectin","plant","2.9e-119","0.992063492063",78
"MH8-FAA","GH106","GH106","pectin",NA,"1.9e-210","0.885922330097",106
"MH8-FAA","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","6.8e-83","0.626329787234",2
"MH8-FAA","GH84","GH84","host glycan","animal,mucin","4e-98","0.989830508475",84
"MH8-FAA","GH92","GH92","host glycan","animal","6.2e-158","0.995926680244",92
"MH8-FAA","GH38","GH38","alpha-mannan, host glycan","animal","1e-29","0.527881040892",38
"MH8-FAA","GH92","GH92","host glycan","animal","1.1e-180","0.983706720978",92
"MH8-FAA","GH36","GH36","alpha-galactan, host glycan, raffinose","plant","2.2e-207","0.991279069767",36
"MH8-FAA","GH133","GH133","glycogen",NA,"1.4e-79","0.983870967742",133
"MH8-FAA","GH57","GH57","alpha-galactan, alpha-glucan, beta-glucan, starch","starch","1.4e-63","0.804177545692",57
"MH8-FAA","GH78","GH78","alpha-rhamnoside, pectin","plant","3.9e-89","0.974206349206",78
"MH8-FAA","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","1.2e-63","0.972222222222",3
"MH8-FAA","GH37","GH37","trehalose",NA,"3.4e-89","0.820773930754",37
"MH8-FAA","GH78","GH78","alpha-rhamnoside, pectin","plant","1.6e-115","0.992063492063",78
"MH8-FAA","GH13_46","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","2.9e-140","0.993788819876",13
"MH8-FAA","GH23","GH23","chitin, peptidoglycan","pg","1.2e-23","0.837037037037",23
"MH8-FAA","GH147","GH147","beta-galactan",NA,"2.5e-283","0.986519607843",147
"MH8-FAA","GH53","GH53","arabinogalactan protein","plant","2.8e-94","0.900584795322",53
"MH8-FAA","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","3.4e-107","0.722074468085",2
"MH8-FAA","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","4.1e-93","0.61170212766",2
"MH8-FAA","GH125","GH125","alpha-mannan",NA,"2e-184","0.997512437811",125
"MH8-FAA","GH32","GH32","fructan","sucrose","2.2e-91","0.976109215017",32
"MH8-FAA","GH13_28","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","8.5e-97","0.993031358885",13
"MH8-FAA","GH23","GH23","chitin, peptidoglycan","pg","3.2e-27","0.822222222222",23
"MH8-FAA","GH32","GH32","fructan","sucrose","8.3e-88","0.982935153584",32
"MH8-FAA","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","3.2e-64","0.976851851852",3
"MH8-FAA","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","3.7e-58","0.982608695652",16
"MH8-FAA","GH31_1","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"8.7e-163","0.995525727069",31
"MH8-FAA","GH29","GH29","host glycan","plant,animal,mucin","1.5e-102","0.92774566474",29
"MH8-FAA","GH163","GH163","host glycan",NA,"1.2e-99","0.996015936255",163
"MH8-FAA","GH97","GH97","alpha-glucan",NA,"9.4e-209","0.990491283677",97
"MH8-FAA","GH97","GH97","alpha-glucan",NA,"4.2e-256","0.988906497623",97
"MH8-FAA","GH66","GH66","alpha-glucan","dextran","1.8e-184","0.996402877698",66
"MH8-FAA","GH36","GH36","alpha-galactan, host glycan, raffinose","plant","3.3e-211","0.99273255814",36
"MH8-FAA","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","3e-210","0.970744680851",2
"MH8-FAA","GH109","GH109","host glycan","animal","8.7e-168","0.992481203008",109
"MH8-FAA","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","4.1e-105","0.720744680851",2
"MH8-FAA","GH95","GH95","host glycan, pectin, xylan, xyloglucan, host glycan","plant,animal,mucin","1.8e-232","0.987534626039",95
"MH8-FAA","GH27","GH27","alpha-galactan, arabinogalactan protein, host glycan, raffinose, starch","plant","9.3e-16","0.965065502183",27
"MH8-FAA","GH25","GH25","peptidoglycan","pg","2.2e-41","0.994350282486",25
"MH8-FAA","GH43_18","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","2.8e-55","0.986725663717",43
"MH8-FAA","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","3.6e-69","0.967592592593",3
"MH8-FAAM","GH23","GH23","chitin, peptidoglycan","pg","4.1e-26","0.814814814815",23
"MH8-FAAM","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","3.2e-64","0.976851851852",3
"MH8-FAAM","GH16_3","GH16","agarose, arabinogalactan protein, beta-glucan, carrageenan, chitin, exo-polysaccharide, host glycan, porphyran, xyloglucan","plant,fungal","3.6e-58","0.982608695652",16
"MH8-FAAM","GH23","GH23","chitin, peptidoglycan","pg","6.2e-22","0.874074074074",23
"MH8-FAAM","GH13_46","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","2.4e-139","0.990683229814",13
"MH8-FAAM","GH97","GH97","alpha-glucan",NA,"2.1e-229","0.984152139461",97
"MH8-FAAM","GH53","GH53","arabinogalactan protein","plant","2.2e-85","0.979532163743",53
"MH8-FAAM","GH32","GH32","fructan","sucrose","8.9e-63","0.996587030717",32
"MH8-FAAM","GH32","GH32","fructan","sucrose","1.5e-45","0.996587030717",32
"MH8-FAAM","GH13_48","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1.7e-118","0.989399293286",13
"MH8-FAAM","GH13_42","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","2.8e-147","0.9975",13
"MH8-FAAM","GH130_1","GH130","beta-mannan",NA,"4.6e-173","0.996805111821",130
"MH8-FAAM","GH26","GH26","beta-glucan, beta-mannan, xylan","plant","3.3e-51","0.805280528053",26
"MH8-FAAM","GH26","GH26","beta-glucan, beta-mannan, xylan","plant","3.6e-82","0.993399339934",26
"MH8-FAAM","GH36","GH36","alpha-galactan, host glycan, raffinose","plant","2.6e-210","0.991279069767",36
"MH8-FAAM","GH133","GH133","glycogen",NA,"1e-80","0.978494623656",133
"MH8-FAAM","GH57","GH57","alpha-galactan, alpha-glucan, beta-glucan, starch","starch","2.7e-62","0.804177545692",57
"MH8-FAAM","GH27","GH27","alpha-galactan, arabinogalactan protein, host glycan, raffinose, starch","plant","8.5e-35","0.934497816594",27
"MH8-FAAM","GH97","GH97","alpha-glucan",NA,"3.9e-252","0.985736925515",97
"MH8-FAAM","GH31_15","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"6.2e-160","0.99765258216",31
"MH8-FAAM","GH66","GH66","alpha-glucan","dextran","1.5e-155","0.994604316547",66
"MH8-FAAM","GH32","GH32","fructan","sucrose","2.6e-57","0.982935153584",32
"MH8-FAAM","GH32","GH32","fructan","sucrose","1.5e-87","0.986348122867",32
"MH8-FAAM","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","2.4e-67","0.981481481481",3
"MH8-FAAM","GH5_8","GH5","arabinan, arabinogalactan protein, beta-glucan, beta-glycan, beta-mannan, cellulose, chitin, chitosan, glycolipid, polyphenol, xylan, xyloglucan","plant,fungal","2.4e-75","0.988235294118",5
"MH8-FAAM","GH5_8","GH5","arabinan, arabinogalactan protein, beta-glucan, beta-glycan, beta-mannan, cellulose, chitin, chitosan, glycolipid, polyphenol, xylan, xyloglucan","plant,fungal","1.7e-81","0.988235294118",5
"MH8-FAAM","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.6e-116","0.724734042553",2
"MH8-FAAM","GH13_6","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","2.2e-67","0.954545454545",13
"MH8-FAAM","GH5_2","GH5","arabinan, arabinogalactan protein, beta-glucan, beta-glycan, beta-mannan, cellulose, chitin, chitosan, glycolipid, polyphenol, xylan, xyloglucan","plant,fungal","5.4e-85","0.978902953586",5
"MH8-FAAM","GH26","GH26","beta-glucan, beta-mannan, xylan","plant","1e-82","0.996699669967",26
"MH8-FAAM","GH24","GH24","peptidoglycan","pg","1.6e-45","0.985401459854",24
"MH8-FAAM","GH13_19","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","8.8e-127","0.994520547945",13
"MH8-FAAM","GH13_38","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1.4e-167","0.99460916442",13
"MH8-FAAM","GH53","GH53","arabinogalactan protein","plant","7.9e-91","0.906432748538",53
"MH8-FAAM","GH30_3","GH30","arabinogalactan protein, beta-fucosides, beta-glucan, beta-glucuronan, host glycan, xylan",NA,"4.5e-155","0.990407673861",30
"MH8-FAAM","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","8.5e-66","0.972222222222",3
"MH8-FAAM","GH31","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"7.8e-122","0.995316159251",31
"MH8-FAAM","GH13_42","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","6e-157","0.9975",13
"MH8-FAAM","GH94","GH94","beta-glucan, cellulose, chitin","plant","1.1e-295","0.746138996139",94
"MH8-FAAM","GH24","GH24","peptidoglycan","pg","4.1e-18","0.802919708029",24
"MH8-FAAM","GH25","GH25","peptidoglycan","pg","2.7e-43","0.994350282486",25
"MH8-FAAM","GH171","GH171","peptidoglycan",NA,"1.3e-123","0.997183098592",171
"MH8-FAAM","GH77","GH77","starch","starch","5.3e-150","0.98987854251",77
"MH8-FAAM","GH53","GH53","arabinogalactan protein","plant","9.7e-92","0.90350877193",53
"MH8-FAAM","GH13_37","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","6.8e-86","0.987261146497",13
"MH8-FAAM","GH13_47","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","2.5e-98","0.983974358974",13
"MH8-FAAM","GH13_28","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","2.4e-100","0.993031358885",13
"MH8-FAAM","GH32","GH32","fructan","sucrose","2e-42","0.948805460751",32
"MH8-FAAM","GH13_8","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1.2e-164","0.99375",13
"MH8-FAAM","GH13_14","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1.2e-119","0.996539792388",13
"MH8-FAAM","GH13_28","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","6.7e-66","0.993031358885",13
"MH8C-FAA","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","2.6e-117","0.964391691395",20
"MH8C-FAA","GH25","GH25","peptidoglycan","pg","2.2e-41","0.994350282486",25
"MH8C-FAA","GH43_18","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","2.8e-55","0.986725663717",43
"MH8C-FAA","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","3.1e-69","0.967592592593",3
"MH8C-FAA","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","1.4e-120","0.970326409496",20
"MH8C-FAA","GH13_14","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1e-118","0.996539792388",13
"MH8C-FAA","GH188","GH188",NA,NA,"1.2e-19","0.725868725869",188
"MH8C-FAA","GH73","GH73","peptidoglycan","pg","6.4e-18","0.9296875",73
"MH8C-FAA","GH23","GH23","chitin, peptidoglycan","pg","1.2e-25","0.896296296296",23
"MH8C-FAA","GH171","GH171","peptidoglycan",NA,"2.4e-126","0.997183098592",171
"MH8C-FAA","GH92","GH92","host glycan","animal","6.2e-167","0.975560081466",92
"MH8C-FAA","GH130_2","GH130","beta-mannan",NA,"4.8e-154","0.996666666667",130
"MH8C-FAA","GH92","GH92","host glycan","animal","1.1e-188","0.995926680244",92
"MH8C-FAA","GH92","GH92","host glycan","animal","7.6e-191","0.993890020367",92
"MH8C-FAA","GH92","GH92","host glycan","animal","1.2e-179","0.983706720978",92
"MH8C-FAA","GH20","GH20","exo-polysaccharide, host glycan, human milk polysaccharide","animal,fungal,mucin","1.5e-107","0.973293768546",20
"MH8C-FAA","GH24","GH24","peptidoglycan","pg","4.2e-17","0.832116788321",24
"MH8C-FAA","GH13_8","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","5.1e-165","0.99375",13
"MH8C-FAA","GH177","GH177","host glycan",NA,"8.5e-19","0.50144092219",177
"MH8C-FAA","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","8.9e-226","0.966755319149",2
"MH8C-FAA","GH5_4","GH5","arabinan, arabinogalactan protein, beta-glucan, beta-glycan, beta-mannan, cellulose, chitin, chitosan, glycolipid, polyphenol, xylan, xyloglucan","plant,fungal","1.6e-87","0.985507246377",5
"MH8C-FAA","GH97","GH97","alpha-glucan",NA,"1.3e-193","0.990491283677",97
"MH8C-FAA","GH43_17","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","2.6e-96","0.98127340824",43
"MH8C-FAA","GH24","GH24","peptidoglycan","pg","1.1e-16","0.839416058394",24
"MH8C-FAA","GH31_4","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"7.6e-179","0.997701149425",31
"MH8C-FAA","GH13_38","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","4.2e-165","0.99460916442",13
"MH8C-FAA","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","5.5e-127","0.607712765957",2
"MH8C-FAA","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","3.1e-65","0.976851851852",3
"MH8C-FAA","GH13_47","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","9.8e-99","0.987179487179",13
"MH8C-FAA","GH130_3","GH130","beta-mannan",NA,"1e-126","0.977049180328",130
"MH8C-FAA","GH92","GH92","host glycan","animal","1.4e-154","0.991853360489",92
"MH8C-FAA","GH13_42","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","8.5e-154","0.9975",13
"MH8C-FAA","GH92","GH92","host glycan","animal","6.8e-173","0.993890020367",92
"MH8C-FAA","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","3.1e-139","0.527925531915",2
"MH8C-FAA","GH84","GH84","host glycan","animal,mucin","4e-98","0.989830508475",84
"MH8C-FAA","GH106","GH106","pectin",NA,"1.9e-210","0.885922330097",106
"MH8C-FAA","GH78","GH78","alpha-rhamnoside, pectin","plant","2.9e-119","0.992063492063",78
"MH8C-FAA","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","6.8e-83","0.626329787234",2
"MH8C-FAA","GH92","GH92","host glycan","animal","6.2e-158","0.995926680244",92
