locus_tag	ftype	length_bp	gene	EC_number	COG	product
ALLENOCK_01168	CDS	1071				hypothetical protein
ALLENOCK_01169	CDS	1134				hypothetical protein
ALLENOCK_01170	CDS	1464				hypothetical protein
ALLENOCK_01171	CDS	1059				hypothetical protein
ALLENOCK_01172	CDS	249				hypothetical protein
ALLENOCK_01173	CDS	2364				hypothetical protein
ALLENOCK_01174	CDS	1092	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
ALLENOCK_01175	CDS	1386				hypothetical protein
ALLENOCK_01176	CDS	1488				hypothetical protein
ALLENOCK_01177	CDS	1032	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
ALLENOCK_01178	CDS	1062				hypothetical protein
ALLENOCK_01179	CDS	693				hypothetical protein
ALLENOCK_01180	CDS	1080				hypothetical protein
ALLENOCK_01181	CDS	1998	susB_1	3.2.1.3		Glucan 1,4-alpha-glucosidase SusB
ALLENOCK_01182	CDS	1446	tvaII	3.2.1.135		Neopullulanase 2
ALLENOCK_01183	CDS	624	tdk	2.7.1.21		Thymidine kinase
ALLENOCK_01184	CDS	459				hypothetical protein
ALLENOCK_01185	CDS	768				hypothetical protein
ALLENOCK_01186	CDS	1362	norM		COG0534	Multidrug resistance protein NorM
ALLENOCK_01187	CDS	1221				hypothetical protein
ALLENOCK_01188	CDS	684				hypothetical protein
ALLENOCK_01189	CDS	957	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
ALLENOCK_01190	CDS	453	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
ALLENOCK_01191	CDS	372	ypjD		COG1694	putative protein YpjD
ALLENOCK_01192	CDS	756	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
ALLENOCK_01193	CDS	1464				hypothetical protein
ALLENOCK_01194	CDS	711				hypothetical protein
ALLENOCK_01195	CDS	1527				hypothetical protein
ALLENOCK_01196	CDS	498				hypothetical protein
ALLENOCK_01197	CDS	1167	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
ALLENOCK_01198	CDS	831	uxuB	1.-.-.-	COG1028	putative oxidoreductase UxuB
ALLENOCK_01199	tRNA	75				tRNA-Pro(tgg)
ALLENOCK_01200	CDS	1209	glgA_2	2.4.1.21		Glycogen synthase
ALLENOCK_01201	CDS	612	ribE	2.5.1.9	COG0307	Riboflavin synthase
ALLENOCK_01202	CDS	591		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
ALLENOCK_01203	CDS	780				hypothetical protein
ALLENOCK_01204	CDS	741				hypothetical protein
ALLENOCK_01205	CDS	450	rnpA	3.1.26.5		Ribonuclease P protein component
ALLENOCK_01206	CDS	591	dtd3_1	3.1.1.96		D-aminoacyl-tRNA deacylase
ALLENOCK_01207	CDS	894				hypothetical protein
ALLENOCK_01208	CDS	537				hypothetical protein
ALLENOCK_01209	CDS	702				hypothetical protein
ALLENOCK_01210	CDS	1008	tolB_2			Tol-Pal system protein TolB
ALLENOCK_01211	CDS	558				hypothetical protein
ALLENOCK_01212	CDS	1023	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
ALLENOCK_01213	CDS	1758	lysU	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
ALLENOCK_01214	CDS	1014	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
ALLENOCK_01215	CDS	1344	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
ALLENOCK_01216	CDS	201				hypothetical protein
ALLENOCK_01217	CDS	882				hypothetical protein
ALLENOCK_01218	CDS	507				hypothetical protein
ALLENOCK_01219	CDS	102				hypothetical protein
ALLENOCK_01220	CDS	981	nadA	2.5.1.72	COG0379	Quinolinate synthase A
ALLENOCK_01221	CDS	2772	leuS	6.1.1.4		Leucine--tRNA ligase
ALLENOCK_01222	CDS	663				hypothetical protein
ALLENOCK_01223	CDS	684		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
ALLENOCK_01224	CDS	2448				hypothetical protein
ALLENOCK_01225	CDS	1032				hypothetical protein
ALLENOCK_01226	CDS	1038	arnC	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
ALLENOCK_01227	CDS	195				hypothetical protein
ALLENOCK_01228	CDS	516				hypothetical protein
ALLENOCK_01229	CDS	654				hypothetical protein
ALLENOCK_01230	CDS	1566	nadB	1.4.3.16	COG0029	L-aspartate oxidase
ALLENOCK_01231	CDS	156				hypothetical protein
ALLENOCK_01232	CDS	1005	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
ALLENOCK_01233	CDS	1017				hypothetical protein
ALLENOCK_01234	CDS	1011				hypothetical protein
ALLENOCK_01235	CDS	921	gspA_1		COG1442	General stress protein A
ALLENOCK_01236	CDS	930	gspA_2		COG1442	General stress protein A
ALLENOCK_01237	CDS	2340				hypothetical protein
ALLENOCK_01238	CDS	3639	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
ALLENOCK_01239	CDS	315	trxA_2		COG0526	Thioredoxin
ALLENOCK_01240	CDS	843	moaA			GTP 3',8-cyclase
ALLENOCK_01241	CDS	129				hypothetical protein
ALLENOCK_01242	CDS	108				hypothetical protein
ALLENOCK_01243	CDS	1515	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
ALLENOCK_01244	CDS	1698				hypothetical protein
ALLENOCK_01245	CDS	939				hypothetical protein
ALLENOCK_01246	CDS	465	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
ALLENOCK_01247	CDS	2091	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
ALLENOCK_01248	CDS	702	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
ALLENOCK_01249	CDS	1266	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
ALLENOCK_01250	CDS	237	acpP		COG0236	Acyl carrier protein
ALLENOCK_01251	CDS	1221	yhhS			putative MFS-type transporter YhhS
ALLENOCK_01252	CDS	927				hypothetical protein
ALLENOCK_01253	CDS	2358	btuB_4			Vitamin B12 transporter BtuB
ALLENOCK_01254	CDS	645				hypothetical protein
ALLENOCK_01255	CDS	5961				hypothetical protein
ALLENOCK_01256	CDS	150				hypothetical protein
ALLENOCK_01257	CDS	801	zupT		COG0428	Zinc transporter ZupT
ALLENOCK_01258	CDS	561	sigW_2		COG1595	ECF RNA polymerase sigma factor SigW
ALLENOCK_01259	CDS	408				hypothetical protein
ALLENOCK_01260	CDS	396				hypothetical protein
ALLENOCK_01261	CDS	5745				hypothetical protein
ALLENOCK_01262	CDS	516				hypothetical protein
ALLENOCK_01263	CDS	168				hypothetical protein
ALLENOCK_01264	CDS	1491				hypothetical protein
ALLENOCK_01265	CDS	1020				hypothetical protein
ALLENOCK_01266	CDS	1152				hypothetical protein
ALLENOCK_01267	CDS	1224				hypothetical protein
ALLENOCK_01268	CDS	1188	bioF_1	2.3.1.47		8-amino-7-oxononanoate synthase
ALLENOCK_01269	CDS	1014				hypothetical protein
ALLENOCK_01270	CDS	1737	arnT	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
ALLENOCK_01271	CDS	1650	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
ALLENOCK_01272	CDS	726	lldR		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
ALLENOCK_01273	CDS	912	nanA_1	4.1.3.3	COG0329	N-acetylneuraminate lyase
ALLENOCK_01274	CDS	1641				hypothetical protein
ALLENOCK_01275	CDS	1296				hypothetical protein
ALLENOCK_01276	CDS	3300				TonB-dependent receptor P39
ALLENOCK_01277	CDS	1455				SusD-like protein P2
ALLENOCK_01278	CDS	1128	nedA_1	3.2.1.18		Sialidase
ALLENOCK_01279	CDS	1596				hypothetical protein
ALLENOCK_01280	CDS	816				hypothetical protein
ALLENOCK_01281	CDS	1089	nanM	5.1.3.24		N-acetylneuraminate epimerase
ALLENOCK_01282	CDS	1383	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
ALLENOCK_01283	CDS	726	recO			DNA repair protein RecO
ALLENOCK_01284	CDS	546	yrdA		COG0663	Protein YrdA
ALLENOCK_01285	CDS	1785				hypothetical protein
ALLENOCK_01286	tRNA	75				tRNA-Thr(tgt)
ALLENOCK_01287	tRNA	84				tRNA-Tyr(gta)
ALLENOCK_01288	tRNA	74				tRNA-Gly(tcc)
ALLENOCK_01289	tRNA	73				tRNA-Thr(ggt)
ALLENOCK_01290	CDS	1185	tuf			Elongation factor Tu
ALLENOCK_01291	tRNA	76				tRNA-Trp(cca)
ALLENOCK_01292	CDS	195				hypothetical protein
ALLENOCK_01293	CDS	561	nusG		COG0250	Transcription termination/antitermination protein NusG
ALLENOCK_01294	CDS	444	rplK		COG0080	50S ribosomal protein L11
ALLENOCK_01295	CDS	696	rplA			50S ribosomal protein L1
ALLENOCK_01296	CDS	528	rplJ		COG0244	50S ribosomal protein L10
ALLENOCK_01297	CDS	375	rplL		COG0222	50S ribosomal protein L7/L12
ALLENOCK_01298	CDS	3810	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
ALLENOCK_01299	CDS	4299	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
ALLENOCK_01300	tRNA	83				tRNA-Leu(tag)
ALLENOCK_01301	tRNA	73				tRNA-Arg(cct)
ALLENOCK_01302	CDS	342				hypothetical protein
ALLENOCK_01303	CDS	426	fdtA	5.3.2.3		TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase
ALLENOCK_01304	CDS	1152	fdtB	2.6.1.90		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
ALLENOCK_01305	CDS	891	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
ALLENOCK_01306	CDS	771				hypothetical protein
ALLENOCK_01307	CDS	783	pyrH	2.7.4.22	COG0528	Uridylate kinase
ALLENOCK_01308	CDS	558	frr		COG0233	Ribosome-recycling factor
ALLENOCK_01309	CDS	2058	htpG		COG0326	Chaperone protein HtpG
ALLENOCK_01310	CDS	846				hypothetical protein
ALLENOCK_01311	CDS	2073				hypothetical protein
ALLENOCK_01312	CDS	1413				hypothetical protein
ALLENOCK_01313	CDS	924				hypothetical protein
ALLENOCK_01314	CDS	1140	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
ALLENOCK_01315	CDS	1380	dgt	3.1.5.1		Deoxyguanosinetriphosphate triphosphohydrolase
ALLENOCK_01316	CDS	1260				hypothetical protein
ALLENOCK_01317	CDS	357	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
ALLENOCK_01318	CDS	498	tpx	1.11.1.15	COG2077	Thiol peroxidase
ALLENOCK_01319	CDS	1197				hypothetical protein
ALLENOCK_01320	CDS	1104	ychF		COG0012	Ribosome-binding ATPase YchF
ALLENOCK_01321	CDS	999	rhaS_2			HTH-type transcriptional activator RhaS
ALLENOCK_01322	CDS	1494	creD		COG4452	Inner membrane protein CreD
ALLENOCK_01323	CDS	1947				hypothetical protein
ALLENOCK_01324	CDS	1215	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
ALLENOCK_01325	CDS	1206	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
ALLENOCK_01326	CDS	1254				hypothetical protein
ALLENOCK_01327	CDS	360	rsfS		COG0799	Ribosomal silencing factor RsfS
ALLENOCK_01328	CDS	2070	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
ALLENOCK_01329	CDS	888				hypothetical protein
ALLENOCK_01330	CDS	531				hypothetical protein
ALLENOCK_01331	CDS	630	recR		COG0353	Recombination protein RecR
ALLENOCK_01332	CDS	780	nfrA1_1	1.5.1.38	COG0778	FMN reductase (NADPH)
ALLENOCK_01333	CDS	2547				hypothetical protein
ALLENOCK_01334	CDS	375	ridA	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
ALLENOCK_01335	CDS	165				hypothetical protein
ALLENOCK_01336	CDS	567	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
ALLENOCK_01337	CDS	1560	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
ALLENOCK_01338	CDS	549	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
ALLENOCK_01339	CDS	375				hypothetical protein
ALLENOCK_01340	CDS	708				hypothetical protein
ALLENOCK_01341	CDS	1185				hypothetical protein
ALLENOCK_01342	CDS	171				hypothetical protein
ALLENOCK_01343	CDS	1941				hypothetical protein
ALLENOCK_01344	CDS	714				hypothetical protein
ALLENOCK_01345	CDS	1494	napF_1			Ferredoxin-type protein NapF
ALLENOCK_01346	CDS	1416				hypothetical protein
ALLENOCK_01347	CDS	2259				hypothetical protein
ALLENOCK_01348	CDS	507				hypothetical protein
ALLENOCK_01349	CDS	384				hypothetical protein
ALLENOCK_01350	CDS	783				hypothetical protein
ALLENOCK_01351	CDS	2331				hypothetical protein
ALLENOCK_01352	CDS	297	trxA_3		COG0526	Thioredoxin
ALLENOCK_01353	CDS	885	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
ALLENOCK_01354	CDS	426				hypothetical protein
ALLENOCK_01355	CDS	1581	prfC		COG4108	Peptide chain release factor RF3
ALLENOCK_01356	CDS	864	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
ALLENOCK_01357	CDS	459	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
ALLENOCK_01358	CDS	1014	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
ALLENOCK_01359	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
ALLENOCK_01360	CDS	900	ddh	1.4.1.16		Meso-diaminopimelate D-dehydrogenase
ALLENOCK_01361	CDS	861	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
ALLENOCK_01362	CDS	459				hypothetical protein
ALLENOCK_01363	CDS	1086				hypothetical protein
ALLENOCK_01364	CDS	1002				hypothetical protein
ALLENOCK_01365	CDS	942	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
ALLENOCK_01366	CDS	1323	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
ALLENOCK_01367	CDS	732				hypothetical protein
ALLENOCK_01368	CDS	2136	mutB	5.4.99.2	COG1884	Methylmalonyl-CoA mutase large subunit
ALLENOCK_01369	CDS	1857	icmF	5.4.99.13		Fused isobutyryl-CoA mutase
ALLENOCK_01370	CDS	408				hypothetical protein
ALLENOCK_01371	CDS	588				hypothetical protein
ALLENOCK_01372	CDS	1197	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
ALLENOCK_01373	CDS	576	efp		COG0231	Elongation factor P
ALLENOCK_01374	CDS	783	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
ALLENOCK_01375	CDS	861	folP	2.5.1.15	COG0294	Dihydropteroate synthase
ALLENOCK_01376	CDS	1365	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
ALLENOCK_01377	CDS	1413			COG2067	Putative outer membrane protein
ALLENOCK_01378	CDS	204				hypothetical protein
ALLENOCK_01379	CDS	777				hypothetical protein
ALLENOCK_01380	CDS	1698				hypothetical protein
ALLENOCK_01381	CDS	1047				hypothetical protein
ALLENOCK_01382	CDS	366				hypothetical protein
ALLENOCK_01383	CDS	1596				hypothetical protein
ALLENOCK_01384	CDS	1638				hypothetical protein
ALLENOCK_01385	CDS	2406				hypothetical protein
ALLENOCK_01386	CDS	3414				hypothetical protein
ALLENOCK_01387	CDS	294				hypothetical protein
ALLENOCK_01388	CDS	300				hypothetical protein
ALLENOCK_01389	CDS	495				hypothetical protein
ALLENOCK_01390	CDS	510				hypothetical protein
ALLENOCK_01391	CDS	462				hypothetical protein
ALLENOCK_01392	CDS	1173				hypothetical protein
ALLENOCK_01393	CDS	942				hypothetical protein
ALLENOCK_01394	CDS	582				hypothetical protein
ALLENOCK_01395	CDS	1569				hypothetical protein
ALLENOCK_01396	CDS	231				hypothetical protein
ALLENOCK_01397	CDS	420				hypothetical protein
ALLENOCK_01398	CDS	1323				hypothetical protein
ALLENOCK_01399	CDS	1353				hypothetical protein
ALLENOCK_01400	CDS	219				hypothetical protein
ALLENOCK_01401	CDS	633				hypothetical protein
ALLENOCK_01402	CDS	471				hypothetical protein
ALLENOCK_01403	CDS	267				hypothetical protein
ALLENOCK_01404	CDS	564				hypothetical protein
ALLENOCK_01405	CDS	240				hypothetical protein
ALLENOCK_01406	CDS	660				hypothetical protein
ALLENOCK_01407	CDS	162				hypothetical protein
ALLENOCK_01408	CDS	501				hypothetical protein
ALLENOCK_01409	CDS	273				hypothetical protein
ALLENOCK_01410	CDS	633				hypothetical protein
ALLENOCK_01411	CDS	879				hypothetical protein
ALLENOCK_01412	CDS	2094				hypothetical protein
ALLENOCK_01413	CDS	378				hypothetical protein
ALLENOCK_01414	CDS	249				hypothetical protein
ALLENOCK_01415	CDS	243				hypothetical protein
ALLENOCK_01416	CDS	720				hypothetical protein
ALLENOCK_01417	CDS	417				hypothetical protein
ALLENOCK_01418	CDS	177				hypothetical protein
ALLENOCK_01419	CDS	129				hypothetical protein
ALLENOCK_01420	CDS	564				hypothetical protein
ALLENOCK_01421	CDS	678				hypothetical protein
ALLENOCK_01422	CDS	645	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
ALLENOCK_01423	CDS	1161				hypothetical protein
ALLENOCK_01424	CDS	3474				hypothetical protein
ALLENOCK_01425	CDS	654	pgdA	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
ALLENOCK_01426	CDS	951	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
ALLENOCK_01427	CDS	1029				hypothetical protein
ALLENOCK_01428	CDS	1608	cpdA_3	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
ALLENOCK_01429	CDS	333				hypothetical protein
ALLENOCK_01430	CDS	951				hypothetical protein
ALLENOCK_01431	CDS	1704				hypothetical protein
ALLENOCK_01432	CDS	3090				TonB-dependent receptor P39
ALLENOCK_01433	CDS	1314				hypothetical protein
ALLENOCK_01434	CDS	2175				hypothetical protein
ALLENOCK_01435	CDS	1731				hypothetical protein
ALLENOCK_01436	CDS	1050	ydjJ	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YdjJ
ALLENOCK_01437	CDS	1029	ccpA		COG1609	Catabolite control protein A
ALLENOCK_01438	CDS	1599	cpdA_4	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
ALLENOCK_01439	CDS	1443		3.2.1.-		Glycosyl hydrolase family 109 protein 1
ALLENOCK_01440	CDS	1341				hypothetical protein
ALLENOCK_01441	CDS	1488				hypothetical protein
ALLENOCK_01442	CDS	3144				TonB-dependent receptor P26
ALLENOCK_01443	CDS	1497				SusD-like protein P25
ALLENOCK_01444	CDS	2436				hypothetical protein
ALLENOCK_01445	CDS	2268				hypothetical protein
ALLENOCK_01446	CDS	885				hypothetical protein
ALLENOCK_01447	CDS	888				hypothetical protein
ALLENOCK_01448	CDS	906				hypothetical protein
ALLENOCK_01449	CDS	90				hypothetical protein
ALLENOCK_01450	CDS	1830	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
ALLENOCK_01451	CDS	1716	ilvB	2.2.1.6	COG0028	Acetolactate synthase large subunit
ALLENOCK_01452	CDS	552	ilvH	2.2.1.6	COG0440	Acetolactate synthase small subunit
ALLENOCK_01453	CDS	789				hypothetical protein
ALLENOCK_01454	CDS	1044		1.1.1.382	COG0059	Ketol-acid reductoisomerase (NAD(+))
ALLENOCK_01455	CDS	1509	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
ALLENOCK_01456	CDS	1530	gltX_1	6.1.1.17	COG0008	Glutamate--tRNA ligase
ALLENOCK_01457	CDS	1251	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
ALLENOCK_01458	CDS	2553				hypothetical protein
ALLENOCK_01459	CDS	738				hypothetical protein
ALLENOCK_01460	CDS	921	xerD_3			Tyrosine recombinase XerD
ALLENOCK_01461	CDS	1983	pal_2			Peptidoglycan-associated lipoprotein
ALLENOCK_01462	CDS	522	ftnA	1.16.3.2		Bacterial non-heme ferritin
ALLENOCK_01463	CDS	2253				hypothetical protein
ALLENOCK_01464	CDS	1698				hypothetical protein
ALLENOCK_01465	CDS	1602	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
ALLENOCK_01466	CDS	981	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase 1
ALLENOCK_01467	CDS	882	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
ALLENOCK_01468	CDS	714	aqpZ2			Aquaporin Z 2
ALLENOCK_01469	CDS	360				hypothetical protein
ALLENOCK_01470	CDS	702				hypothetical protein
ALLENOCK_01471	CDS	687	psd	4.1.1.65		Phosphatidylserine decarboxylase proenzyme
ALLENOCK_01472	CDS	396	rpsL			30S ribosomal protein S12
ALLENOCK_01473	CDS	477	rpsG		COG0049	30S ribosomal protein S7
ALLENOCK_01474	CDS	2127	fusB		COG0480	Elongation factor G 2
ALLENOCK_01475	CDS	306	rpsJ		COG0051	30S ribosomal protein S10
ALLENOCK_01476	CDS	618	rplC		COG0087	50S ribosomal protein L3
ALLENOCK_01477	CDS	621	rplD			50S ribosomal protein L4
ALLENOCK_01478	CDS	291	rplW		COG0089	50S ribosomal protein L23
ALLENOCK_01479	CDS	828	rplB		COG0090	50S ribosomal protein L2
ALLENOCK_01480	CDS	270	rpsS			30S ribosomal protein S19
ALLENOCK_01481	CDS	417				hypothetical protein
ALLENOCK_01482	CDS	738	rpsC		COG0092	30S ribosomal protein S3
ALLENOCK_01483	CDS	432	rplP		COG0197	50S ribosomal protein L16
ALLENOCK_01484	CDS	198				hypothetical protein
ALLENOCK_01485	CDS	261	rpsQ			30S ribosomal protein S17
ALLENOCK_01486	CDS	366	rplN			50S ribosomal protein L14
ALLENOCK_01487	CDS	321	rplX			50S ribosomal protein L24
ALLENOCK_01488	CDS	552	rplE		COG0094	50S ribosomal protein L5
ALLENOCK_01489	CDS	300	rpsN		COG0199	30S ribosomal protein S14
ALLENOCK_01490	CDS	399	rpsH		COG0096	30S ribosomal protein S8
ALLENOCK_01491	CDS	555	rplF			50S ribosomal protein L6
ALLENOCK_01492	CDS	342	rplR			50S ribosomal protein L18
ALLENOCK_01493	CDS	519	rpsE		COG0098	30S ribosomal protein S5
ALLENOCK_01494	CDS	180	rpmD		COG1841	50S ribosomal protein L30
ALLENOCK_01495	CDS	447	rplO			50S ribosomal protein L15
ALLENOCK_01496	CDS	1353	secY		COG0201	Protein translocase subunit SecY
ALLENOCK_01497	CDS	783	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
ALLENOCK_01498	CDS	219	infA			Translation initiation factor IF-1
ALLENOCK_01499	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
ALLENOCK_01500	CDS	381	rpsM		COG0099	30S ribosomal protein S13
ALLENOCK_01501	CDS	390	rpsK			30S ribosomal protein S11
ALLENOCK_01502	CDS	606	rpsD			30S ribosomal protein S4
ALLENOCK_01503	CDS	993	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
ALLENOCK_01504	CDS	486				hypothetical protein
ALLENOCK_01505	CDS	1296	eno	4.2.1.11	COG0148	Enolase
ALLENOCK_01506	CDS	1437				hypothetical protein
ALLENOCK_01507	CDS	897	arcB	1.5.1.49		Delta(1)-pyrroline-2-carboxylate reductase
ALLENOCK_01508	CDS	1785	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
ALLENOCK_01509	CDS	870				hypothetical protein
ALLENOCK_01510	CDS	1026			COG3385	IS4 family transposase ISBf13
ALLENOCK_01511	CDS	801				hypothetical protein
ALLENOCK_01512	CDS	495				hypothetical protein
ALLENOCK_01513	CDS	276			COG0776	DNA-binding protein HU
ALLENOCK_01514	CDS	1275				hypothetical protein
ALLENOCK_01515	CDS	450				hypothetical protein
ALLENOCK_01516	CDS	228				hypothetical protein
ALLENOCK_01517	CDS	291				hypothetical protein
ALLENOCK_01518	CDS	354				hypothetical protein
ALLENOCK_01519	CDS	1464				hypothetical protein
ALLENOCK_01520	CDS	1122	topB_1	5.6.2.1		DNA topoisomerase 3
ALLENOCK_01521	CDS	453				hypothetical protein
ALLENOCK_01522	CDS	6147	mutS_4			DNA mismatch repair protein MutS
ALLENOCK_01523	CDS	312				hypothetical protein
ALLENOCK_01524	CDS	1365	xerC_3			Tyrosine recombinase XerC
ALLENOCK_01525	CDS	1059				hypothetical protein
ALLENOCK_01526	CDS	510				hypothetical protein
ALLENOCK_01527	CDS	582				hypothetical protein
ALLENOCK_01528	CDS	318				hypothetical protein
ALLENOCK_01529	CDS	264				hypothetical protein
ALLENOCK_01530	CDS	867				hypothetical protein
ALLENOCK_01531	CDS	663				hypothetical protein
ALLENOCK_01532	CDS	192				hypothetical protein
ALLENOCK_01533	CDS	405				hypothetical protein
ALLENOCK_01534	CDS	441				hypothetical protein
ALLENOCK_01535	CDS	375				hypothetical protein
ALLENOCK_01536	CDS	174				hypothetical protein
ALLENOCK_01537	CDS	336				hypothetical protein
ALLENOCK_01538	CDS	180				hypothetical protein
ALLENOCK_01539	CDS	483				hypothetical protein
ALLENOCK_01540	CDS	291				hypothetical protein
ALLENOCK_01541	CDS	273				hypothetical protein
ALLENOCK_01542	CDS	681				hypothetical protein
ALLENOCK_01543	CDS	801				hypothetical protein
ALLENOCK_01544	CDS	456				hypothetical protein
ALLENOCK_01545	CDS	2292				hypothetical protein
ALLENOCK_01546	CDS	984				hypothetical protein
ALLENOCK_01547	CDS	1605				hypothetical protein
ALLENOCK_01548	CDS	1881	noc			Nucleoid occlusion protein
ALLENOCK_01549	CDS	192				hypothetical protein
ALLENOCK_01550	CDS	540				hypothetical protein
ALLENOCK_01551	CDS	546				hypothetical protein
ALLENOCK_01552	CDS	756				hypothetical protein
ALLENOCK_01553	CDS	1191				hypothetical protein
ALLENOCK_01554	CDS	1320				hypothetical protein
ALLENOCK_01555	CDS	228				hypothetical protein
ALLENOCK_01556	CDS	1266				hypothetical protein
ALLENOCK_01557	CDS	789				hypothetical protein
ALLENOCK_01558	CDS	603				hypothetical protein
ALLENOCK_01559	CDS	984				hypothetical protein
ALLENOCK_01560	CDS	732				hypothetical protein
ALLENOCK_01561	CDS	2310				hypothetical protein
ALLENOCK_01562	CDS	258				hypothetical protein
ALLENOCK_01563	CDS	273	yafQ	3.1.-.-	COG3041	mRNA interferase toxin YafQ
ALLENOCK_01564	CDS	471				hypothetical protein
ALLENOCK_01565	CDS	873				hypothetical protein
ALLENOCK_01566	CDS	1200				hypothetical protein
ALLENOCK_01567	CDS	495				hypothetical protein
ALLENOCK_01568	CDS	555				hypothetical protein
ALLENOCK_01569	CDS	1128				hypothetical protein
ALLENOCK_01570	CDS	690				hypothetical protein
ALLENOCK_01571	CDS	678				hypothetical protein
ALLENOCK_01572	CDS	768				hypothetical protein
ALLENOCK_01573	CDS	2844				hypothetical protein
ALLENOCK_01574	CDS	288				hypothetical protein
ALLENOCK_01575	CDS	357				hypothetical protein
ALLENOCK_01576	CDS	357				hypothetical protein
ALLENOCK_01577	CDS	588				hypothetical protein
ALLENOCK_01578	CDS	411				hypothetical protein
